This file contains an updated list of all observational parameters
originally presented in McConnachie (2012, AJ, 144, 4). 

** Please refer to the main paper for more details on each parameter **

** This update: October 25 2019 **
** Please see  supplementary file "Update.log" for a record of recent changes, and "Comments.dat" for important comments **
** Please see supplementary file "References.dat" for a numbered list of all references (final column of this file) **
** Please let me know via email if you spot any errors or omissions in this file, alan [dot] mcconnachie [at] nrc-cnrc [dot] gc [dot] ca**

** Systems with an asterix (*) preceding their name are objects whose nature (globular cluster, dwarf galaxy, tidal remnant, asterism, etc) is ambiguous

** Systems where the parameter value is listed as "nines" indicate that no value is known **
** Systems where the parameter has a value but the errors are listed as "nines" indicate that the parameter value is highly uncertain **
** (Note that the information for the non-dwarf galaxies - M33, NGC55, NGC300 - and the Magellanic Clouds is incomplete and not updated regularly) **

Galaxy Name
Right Ascension (hours minutes seconds) 
Declination (degrees arcminutes arcseconds)
Foreground reddening, E(B-V), measured directly from the Schlegel et al 1998 maps (they do not include the recalibration by Schlafly & Finbiener 2011)
Distance Modulus, (m-M)o err+ err-  
Heliocentric radial velocity, vh(km/s) err+ err- 
Apparent V magnitude in Vega mags, Vmag err+ err- 
Position Angle of major axis in degrees measured east from north, PA err+ err- 
Projected ellipticity, e=1-b/a err+ err- 
Central V surface brightness, muVo(mag/sq.arcsec) err+ err-
Half-light radius measured on major axis, rh(arcmins) err+ err-
Stellar radial velocity dispersion, sigma_s(km/s) err+ err-
Stellar peak/max rotation velocity, vrot_s(km/s) err+ err-
Mass of HI (calculated for the adopted distance modulus), M_HI (10^6M_sun)
HI radial velocity dispersion, sigma_g(km/s) err+ err-
HI peak/max rotation velocity, vrot_g(km/s) err+ err-
Stellar mean metallicity in dex, [Fe/H] err+ err-
Flag, F, for technique used to measure metallicity: 1=High res. spectroscopy; 2=Spectral synthesis; 3=CaT calibration; 4=CMD modelling; 5=Isochrones; 6=color of red giant branch
References, numbers refer to list given in supplementary file "References.dat"                                                                                                                                                             
GalaxyName RA Dec EB-V (m-M)o vh(km/s) Vmag PA e=1-b/a muVo rh(arcmins) sigma_s(km/s) vrot_s(km/s) MHI sigma_g(km/s) vrot_g(km/s) [Fe/H] F References

*CanisMajor 7 12 35.0 -27 40 0.0 0.264 14.29 0.3 0.3 87.0 4.0 4.0 -0.1 0.8 0.8 123.0 999 999 999 999 999 24.0 0.6 0.6 999 999 999 20.0 3.0 3.0 999 999 999 999 999 999 999 999 999 999 -0.5 0.2 0.2 4.0 (1)(2)(95)(176) 
SagittariusdSph 18 55 19.5 -30 32 43.0 0.153 17.1 0.15 0.15 140.0 2.0 2.0 3.6 0.3 0.3 102.0 2.0 2.0 0.64 0.02 0.02 25.2 0.3 0.3 342.0 12.0 12.0 11.4 0.7 0.7 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.4 0.2 0.2 1.0 (3)(4)(96)(97)(128)(129)(130)(177) 
*Hydra1 8 55 36.0 3 36 0.0 0.039 15.52 0.05 0.05 89.4 1.4 1.4 13.02 0.3 0.3 999 999 999 999 999 999 999 999 999 999 999 999 8.4 1.5 1.5 6.0 999 999 999 999 999 999 999 999 999 -0.91 0.03 0.03 2.0 (243)(244) 
*Tucana3 23 56 36.0 -59 36 0.0 0.012 17.01 0.16 0.16 -102.3 2.4 2.4 14.6 0.4 0.4 999 999 999 999 999 999 28.25 0.9 0.9 6.0 0.8 0.6 0.1 0.7 0.1 999 999 999 999 999 999 999 999 999 999 -2.42 0.07 0.08 3.0 (232)(253) 
Hydrus1 2 29 33.4 -79 18 32.0 0.091 17.2 0.04 0.04 80.4 0.6 0.6 12.49 0.08 0.08 97.0 14.0 14.0 0.21 0.15 0.07 26.35 0.58 0.58 7.42 0.62 0.54 2.69 0.51 0.43 999 999 999 999 999 999 999 999 999 999 -2.52 0.09 0.09 2.0 (235) 
*Draco2 15 52 47.6 64 33 55.0 0.018 16.9 0.3 0.3 999 999 999 14.0 0.8 0.8 70.0 28.0 28.0 0.24 0.27 0.24 25.62 1.3 1.3 2.7 1.0 0.8 999 999 999 999 999 999 999 999 999 999 999 999 999 -2.2 999 999 5.0 (225) 
Segue(1) 10 7 4.0 16 4 55.0 0.031 16.8 0.2 0.2 208.5 0.9 0.9 15.5 0.73 0.73 75.0 16.0 16.0 0.34 0.11 0.11 28.06 1.01 0.98 3.95 0.48 0.48 3.9 0.8 0.8 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -2.72 0.4 0.4 2.0 (5)(6)(98)(130)(178)(255) 
Carina3 7 38 31.2 -57 53 59.0 0.196 17.22 0.1 0.1 284.6 3.4 3.1 14.82 0.2 0.2 150.0 14.0 14.0 0.55 0.18 0.18 26.58 0.7 0.7 3.75 1.0 1.0 5.6 4.3 2.1 999 999 999 999 999 999 999 999 999 999 -1.8 0.2 0.2 5.0 (237)(246) 
*Reticulum2 3 35 42.1 -54 2 57.0 0.018 17.4 0.2 0.2 64.7 1.3 0.8 13.52 0.38 0.38 69.0 2.0 2.0 0.56 0.03 0.03 26.77 0.46 0.46 5.59 0.21 0.21 3.22 1.64 0.49 999 999 999 999 999 999 999 999 999 999 -2.46 0.09 0.1 2.0 (226)(227)(254)(255) 
*Cetus2 1 17 52.8 -17 25 12.0 0.02 17.38 0.19 0.19 999 999 999 17.4 0.7 0.7 999 999 999 999 999 999 28.55 1.2 1.2 1.9 1.0 0.5 999 999 999 999 999 999 999 999 999 999 999 999 999 -2.0 999 999 5.0 (232) 
*Triangulum2 2 13 17.4 36 10 42.0 0.079 17.4 0.1 0.1 999 999 999 15.6 0.5 0.5 56.0 16.0 24.0 0.21 0.17 0.21 28.06 1.0 1.0 3.9 1.1 0.9 999 999 999 999 999 999 999 999 999 999 999 999 999 -2.2 999 999 5.0 (221) 
